hash,count,paths
f55236762c321cb4062073157ce6d83f,3,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_OnboardingCreativo_IssuesPack/docs/contribution/onboarding-creativo.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_Onboarding_Completo/ATLANTYDE_OnboardingCreativo_IssuesPack/docs/contribution/onboarding-creativo.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_LABS_REPO_FINAL_COMPLETO_MKII/docs/contribution/onboarding/ATLANTYDE_OnboardingCreativo_IssuesPack/docs/contribution/onboarding-creativo.md
a916cee7f07c4f5f1e206ed324caa8de,3,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_OnboardingBetaTester_IssuesPack/atlantyde_issues_beta_tester.csv; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_Onboarding_Completo/ATLANTYDE_OnboardingBetaTester_IssuesPack/atlantyde_issues_beta_tester.csv; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_LABS_REPO_FINAL_COMPLETO_MKII/docs/contribution/onboarding/ATLANTYDE_OnboardingBetaTester_IssuesPack/atlantyde_issues_beta_tester.csv
ce4c7bc96f31cc402b7af489ca0d2ebc,3,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/people/founders.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/people/founders.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_LABS_REPO_FINAL_COMPLETO_MKII/docs/people/founders.md
7e22d86c168874393432ddce6402c67a,3,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/rfc/rfc-003-raci.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/rfc/rfc-003-raci.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_LABS_REPO_FINAL_COMPLETO_MKII/docs/rfc/rfc-003-raci.md
583cdda2cf3a3d3cd819c7b4a3f6524c,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Syllabus_EN/syllabus_en.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Syllabus_EN/syllabus_en.md
be5d6a51d706b07dc5901cb1ac22facf,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Readmes_PT/lab002_README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Readmes_PT/lab002_README.md
b2ed46c8094a4e4373a80dad7e63ec31,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Readmes_PT/lab003_README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Readmes_PT/lab003_README.md
4439768e021d3dc1d4eda2bca3084815,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/index.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/index.md
f0f33faf61774de74dd96bb4c5b8821d,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Syllabus_PT-BR/syllabus_pt-br.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Syllabus_PT-BR/syllabus_pt-br.md
4a235f4ff546bacaa794af9d884cab92,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Syllabus_PT/syllabus_pt.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Syllabus_PT/syllabus_pt.md
